Rank,Company Name,Revenue Cr,Revenue %CHG,PAT Cr,PAT %CHG,MCAP
356,Wheels India Ltd.,3448.84,33.41,76.51,1.90,1505.13
357,JMC Projects (India) Ltd.,3433.56,18.17,76.63,185.40,1792.58
358,KPR Mill Ltd.,3428.54,12.77,334.87,15.32,4788.38
359,Strides Pharma Science Ltd.,3420.50,-3.23,324.62,-51.15,3522.49
360,Au Small Finance Bank Ltd.,3410.87,58.26,381.81,30.74,22577.03
361,DCB Bank Ltd.,3391.92,24.54,325.37,32.62,5594.96
362,India Glycols Ltd.,3373.51,10.34,132.61,37.38,689.66
363,Kirloskar Brothers Ltd.,3372.65,20.57,3.48,-92.96,1135.82
364,GHCL Ltd.,3356.83,13.51,350.58,-1.62,2039.90
365,IFB Industries Ltd.,3346.83,20.95,72.95,-9.90,2864.89
366,Godawari Power & Ispat Ltd.,3331.31,31.18,252.11,21.42,532.24
367,GlaxoSmithKline Pharmaceuticals Ltd.,3279.21,11.39,445.39,26.99,27779.51
368,BGR Energy Systems Ltd.,3275.59,-1.37,19.30,17.83,225.34
369,Finolex Cables Ltd.,3259.81,9.81,407.47,23.43,5615.48
370,Bajaj Holdings & Investment Ltd.,3258.68,16.00,3048.38,14.83,41194.74
371,Honeywell Automation India Ltd.,3245.61,19.19,358.84,43.69,24627.95
372,Godrej Properties Ltd.,3235.93,53.92,253.15,191.28,23281.67
373,Triveni Engineering & Industries Ltd.,3235.60,-4.94,216.28,81.53,1587.55
374,Gujarat Alkalies & Chemicals Ltd.,3223.38,25.90,690.19,29.13,3081.60
375,Bharat Dynamics Ltd.,3205.34,-32.66,422.59,-19.99,6147.62
376,Supreme Petrochem Ltd.,3203.80,5.57,49.21,-57.62,1630.30
377,Nava Bharat Ventures Ltd.,3195.14,32.19,357.55,50.22,1185.87
378,Blue Dart Express Ltd.,3193.64,13.25,89.76,-37.97,5173.63
379,AIA Engineering Ltd.,3190.39,24.29,510.83,15.22,15683.08
380,Cochin Shipyard Ltd.,3188.97,25.34,478.13,20.63,5315.10
381,Minda Corporation Ltd.,3173.00,20.97,169.20,18.57,2145.79
382,Maharashtra Seamless Ltd.,3166.07,40.76,234.20,11.14,2520.21
383,Finolex Industries Ltd.,3145.74,13.22,367.25,19.89,7207.79
384,IFCI Ltd.,3134.49,-28.13,-488.67,PL,1292.85
385,SKF India Ltd.,3126.91,10.81,335.77,13.48,10643.23
386,PVR Ltd.,3118.70,31.84,183.63,47.26,8976.69
387,Jai Balaji Industries Ltd.,3117.43,29.50,-153.68,LL,201.99
388,SJVN Ltd.,3107.15,17.56,1366.56,11.59,9667.31
389,Lakshmi Vilas Bank Ltd.,3090.21,-8.80,-894.10,LL,647.33
390,Monnet Ispat & Energy Ltd.,3088.62,120.62,-3552.11,LL,468.63
391,Mangalore Chemicals & Fertilizers Ltd.,3085.67,12.92,32.88,-45.72,341.46
392,3M India Ltd.,3076.69,11.29,366.18,9.85,25230.26
393,Venky's (India) Ltd.,3072.15,13.15,174.14,-12.80,2474.13
394,Brigade Enterprises Ltd.,3029.03,55.57,239.91,72.35,4224.31
395,VLS Finance Ltd.,3021.77,39.37,22.47,-10.69,210.14
396,Procter & Gamble Hygiene & Healthcare Ltd.,2999.84,20.99,419.13,11.89,36799.56
397,Bata India Ltd.,2999.32,11.73,328.99,49.20,21617.26
398,RSWM Ltd.,2994.12,0.39,-38.29,PL,242.64
399,Sonata Software Ltd.,2990.91,19.61,249.26,29.47,3224.96
400,Dixon Technologies (India) Ltd.,2990.08,5.07,63.36,4.04,3520.69
401,Kajaria Ceramics Ltd.,2974.23,9.26,226.57,-3.57,11803.29
402,Dhampur Sugar Mills Ltd.,2972.49,-12.03,251.04,65.48,1257.59
403,Akzo Nobel India Ltd.,2961.30,0.04,211.00,-47.26,9119.01
404,MEP Infrastructure Developers Ltd.,2939.46,20.12,56.28,-20.70,661.98
405,Asahi India Glass Ltd.,2939.31,10.45,190.18,7.22,4881.99
406,WABCO India Ltd.,2926.62,11.71,282.17,3.42,11755.72
407,Trent Ltd.,2910.34,21.73,96.96,11.49,18304.34
408,PI Industries Ltd.,2900.40,24.09,410.20,11.59,19632.91
409,Forbes & Company Ltd.,2899.14,1.30,6.96,LP,2370.15
410,Page Industries Ltd.,2888.63,12.27,393.94,13.53,25872.73
411,Filatex India Ltd.,2888.26,48.98,84.98,42.25,823.44
412,Narayana Hrudayalaya Ltd.,2877.59,25.03,59.17,15.23,5949.23
413,Mahanagar Gas Ltd.,2868.78,25.24,546.39,14.34,9984.83
414,Sanofi India Ltd.,2858.00,12.49,380.60,16.75,15532.25
415,J Kumar Infraprojects Ltd.,2815.21,35.40,177.07,29.67,1204.56
416,Lakshmi Machine Works Ltd.,2814.20,2.32,185.38,-13.63,3635.51
417,Transport Corporation of India Ltd.,2798.24,17.24,144.40,17.24,2140.56
418,Ratnamani Metals & Tubes Ltd.,2796.13,55.41,252.92,66.65,4499.38
419,Nectar Lifesciences Ltd.,2788.91,48.17,47.60,-8.93,305.96
420,Va Tech Wabag Ltd.,2788.64,-19.53,105.02,-20.14,953.41
421,Electrosteel Castings Ltd.,2783.59,18.74,38.17,-69.23,529.70
422,Galaxy Surfactants Ltd.,2767.67,13.24,190.98,20.85,5391.42
423,TVS Electronics Ltd.,2764.50,-32.86,9.85,-39.01,210.22
424,HSIL Ltd.,2744.46,21.30,70.05,-5.47,351.31
425,Essel Propack Ltd.,2743.81,11.98,192.53,12.20,4278.64
426,Dhunseri Investments Ltd.,2738.17,-3.11,87.74,-11.50,130.02
427,Carborundum Universal Ltd.,2736.13,13.43,247.68,14.88,5934.04
428,Emami Ltd.,2729.53,7.04,303.23,-1.27,14508.23
429,Amber Enterprises India Ltd.,2727.54,28.28,93.66,50.31,3128.44
430,Bayer Cropscience Ltd.,2722.90,-0.94,237.60,-20.83,15579.40
431,Mahanagar Telephone Nigam Ltd.,2721.50,-15.43,-3388.07,LL,600.96
432,Deepak Nitrite Ltd.,2715.04,63.19,173.66,119.77,4771.78
433,Engineers India Ltd.,2698.11,34.87,369.55,-3.59,7218.44
434,Rane Holdings Ltd.,2689.83,7.60,103.73,-20.39,1156.67
435,Orient Cement Ltd.,2686.88,12.28,47.55,7.53,1569.59
436,Southern Petrochemicals Industries Corporation Ltd.,2671.49,31.08,62.99,38.71,405.75
437,Oberoi Realty Ltd.,2668.14,105.94,816.93,78.06,18513.33
438,Godfrey Phillips India Ltd.,2665.20,6.98,260.31,63.60,6211.09
439,Prime Focus Ltd.,2663.74,16.22,-22.71,LL,1842.77
440,Shankara Building Products Ltd.,2658.53,4.28,32.74,-55.63,753.88
441,Heritage Foods Ltd.,2654.87,-4.37,81.43,29.73,1531.58
442,Himatsingka Seide Ltd.,2654.26,17.10,196.84,-2.38,1350.43
443,Birlasoft Ltd.,2651.09,13.45,289.47,14.48,1863.28
444,Sutlej Textiles & Industries Ltd.,2641.64,3.52,58.26,-48.61,521.33
445,Patel Engineering Ltd.,2627.19,1.42,154.15,47.10,608.13
446,V-Guard Industries Ltd.,2614.06,11.87,167.24,24.56,10072.77
447,Tinplate Company of India Ltd.,2613.69,35.06,58.00,-20.72,1433.32
448,Renaissance Global Ltd.,2583.32,40.03,83.70,32.81,459.65
449,Brightcom Group Ltd.,2577.73,6.51,443.98,9.08,172.05
450,ITD Cementation India Ltd.,2551.53,16.71,65.50,-10.05,1030.71
451,Uttam Value Steels Ltd.,2537.89,-6.36,-630.38,LL,125.55
452,Astral Poly Technik Ltd.,2522.73,20.96,195.81,11.83,16415.00
453,Magma Fincorp Ltd.,2514.06,7.91,304.01,28.33,1229.92
454,Usha Martin Ltd.,2509.28,17.12,47.98,LP,939.85
455,Hindusthan National Glass & Industries Ltd.,2505.77,27.51,-172.95,LL,289.04
456,DB Corp Ltd.,2479.35,6.19,273.84,-15.47,2504.18
457,Solar Industries India Ltd.,2476.29,28.42,261.61,18.62,9453.34
458,Siyaram Silk Mills Ltd.,2470.34,0.86,99.09,-10.58,1106.32
459,Motilal Oswal Financial Services Ltd.,2468.23,-10.32,293.97,-52.76,10646.34
460,The Fertilisers and Chemicals Travancore Ltd.,2466.76,21.19,163.14,LP,2548.49
461,Jayant Agro Organics Ltd.,2444.49,-4.35,55.80,4.36,388.03
462,TVS Srichakra Ltd.,2442.98,12.70,102.94,-11.37,1376.73
463,HT Media Ltd.,2435.52,-5.94,-45.40,PL,385.90
464,Himadri Speciality Chemical Ltd.,2430.16,19.49,324.29,31.05,2876.88
465,Spencer's Retail Ltd.,2425.87,126.96,2.39,LP,540.02
466,Parag Milk Foods Ltd.,2405.92,22.34,120.72,38.66,1191.84
467,Jagran Prakashan Ltd.,2403.94,2.26,260.55,-13.11,1594.04
468,Religare Enterprises Ltd.,2401.72,-12.20,-1287.17,LL,1147.07
469,Huhtamaki PPL Ltd.,2385.74,11.25,34.88,-45.17,1855.30
470,Nilkamal Ltd.,2382.41,11.62,117.33,-4.97,1922.39
471,KNR Constructions Ltd.,2368.93,11.46,270.51,11.10,3378.72
472,Equitas Holdings Ltd.,2358.53,32.53,176.59,1190.86,3193.63
473,Granules India Ltd.,2354.63,37.58,236.41,78.30,3178.52
474,Sandhar Technologies Ltd.,2342.19,20.05,95.16,46.35,1456.99
475,Sarda Energy & Minerals Ltd.,2340.74,4.31,203.18,0.34,662.51
476,Nahar Spinning Mills Ltd.,2317.85,8.20,65.12,LP,167.71
477,Laurus Labs Ltd.,2308.07,10.68,93.76,-44.06,3776.36
478,Relaxo Footwears Ltd.,2305.06,18.48,175.44,8.92,13995.14
479,Mahindra Holidays & Resorts India Ltd.,2295.74,-2.33,60.42,-54.36,2985.78
480,Century Plyboards (India) Ltd.,2287.54,12.59,148.45,-8.96,3783.40
481,Savita Oil Technologies Ltd.,2280.92,27.27,114.27,-9.45,1285.98
482,Power Mech Projects Ltd.,2276.95,46.47,121.62,53.10,968.70
483,Johnson Controls-Hitachi Air Conditioning India Ltd.,2256.72,2.92,85.94,-14.19,5377.12
484,Pfizer Ltd.,2248.89,7.97,429.05,19.16,18471.34
485,Rites Ltd.,2247.85,36.15,469.51,37.09,7254.63
486,Man Industries (India) Ltd.,2242.37,34.73,58.84,-7.62,246.67
487,Sunflag Iron & Steel Company Ltd.,2240.67,7.14,110.25,-14.30,541.25
488,HIL Ltd.,2234.77,71.61,101.40,25.57,886.32
489,Kirloskar Industries Ltd.,2226.66,21.67,84.08,69.48,617.33
490,Natco Pharma Ltd.,2224.70,-0.02,644.40,-7.44,10386.35
491,Vindhya Telelinks Ltd.,2219.18,55.84,275.61,79.66,1005.66
492,Jindal Worldwide Ltd.,2218.61,33.82,30.03,-48.75,1234.43
493,Gokul Refoils & Solvent Ltd.,2217.68,6.93,11.83,30.72,169.62
494,Linde India Ltd.,2206.49,7.79,25.69,58.68,5181.57
495,Cosmo Films Ltd.,2176.67,15.72,61.11,-5.15,448.63
496,Sheela Foam Ltd.,2170.54,9.27,133.74,0.02,6258.43
497,Heidelberg Cement India Ltd.,2168.17,13.55,220.66,65.69,4311.59
498,Kirloskar Ferrous Industries Ltd.,2164.68,22.27,98.11,158.18,860.89
499,Tata Metaliks Ltd.,2161.76,12.90,181.89,14.27,1650.87
500,Pennar Industries Ltd.,2159.85,20.20,66.44,-25.67,434.00
