Rank,Company Name,Revenue Cr,Revenue %CHG,PAT Cr,PAT %CHG,MCAP
82,Reliance Capital Ltd.,20693.00,9.57,-1513.00,LL,501.38
83,Oriental Bank of Commerce,20536.77,1.76,54.99,LP,7603.98
84,Hindustan Aeronautics Ltd.,20270.74,5.05,2265.02,13.79,26206.81
85,TVS Motor Company Ltd.,20187.13,22.79,704.67,8.02,21701.50
86,Titan Company Ltd.,19961.46,23.15,1404.15,24.25,104761.96
87,Aurobindo Pharma Ltd.,19721.57,19.03,2364.73,-2.41,25922.56
88,Asian Paints Ltd.,19609.39,14.27,2159.49,5.91,167782.31
89,Max Financial Services Ltd.,19501.23,19.36,262.56,-8.32,12916.85
90,Allahabad Bank,18806.39,-3.50,-8457.37,LL,9428.98
91,Bajaj Finance Ltd.,18501.76,45.03,3994.99,60.03,244755.23
92,Apollo Tyres Ltd.,17672.08,18.15,679.84,-6.08,9734.44
93,Corporation Bank,17504.09,-12.25,-6325.30,LL,12469.43
94,LIC Housing Finance Ltd.,17395.58,16.93,2433.95,21.22,21730.48
95,Lupin Ltd.,17085.95,7.12,606.55,141.40,34487.54
96,Indiabulls Housing Finance Ltd.,17027.04,13.83,4090.53,5.01,10153.99
97,Cipla Ltd.,16838.98,8.55,1527.70,8.31,37803.27
98,EID Parry (India) Ltd.,16668.08,6.78,153.49,-40.00,3179.54
99,Tata Communications Ltd.,16587.45,-2.61,-82.37,LL,10603.14
100,MRF Ltd.,16484.19,7.85,1130.60,-0.09,26962.45
101,Oil India Ltd.,16058.17,28.37,3237.80,18.40,17462.53
102,UCO Bank,15844.14,4.64,-4321.08,LL,11549.82
103,Dr. Reddy's Laboratories Ltd.,15785.70,9.35,1950.00,105.96,47169.85
104,Shriram Transport Finance Company Ltd.,15545.70,14.06,2575.68,1.05,25709.25
105,Aditya Birla Capital Ltd.,15397.81,31.57,870.94,25.67,21060.75
106,PTC India Ltd.,15285.28,18.37,425.28,112.69,1682.30
107,ACC Ltd.,14954.60,11.39,1520.47,64.48,28213.10
108,Exide Industries Ltd.,14869.05,15.48,845.55,22.37,16213.96
109,Siemens Ltd.,14166.20,8.34,1099.40,21.99,56416.75
110,Rain Industries Ltd.,14090.65,23.44,581.63,-23.83,3458.52
111,Jindal Stainless Ltd.,13653.13,16.31,142.38,-58.49,1825.24
112,Piramal Enterprises Ltd.,13528.14,24.22,1473.09,-71.24,35260.30
113,Cadila Healthcare Ltd.,13366.70,11.22,1848.80,4.11,25012.32
114,Torrent Power Ltd.,13358.79,13.29,898.94,-4.60,13810.25
115,L&T Finance Holdings Ltd.,13301.52,29.57,2226.30,77.44,20106.08
116,Coromandel International Ltd.,13262.48,19.02,720.48,4.22,13806.48
117,IDFC First Bank Ltd.,13142.66,28.62,-1907.88,PL,20611.35
118,NCC Ltd.,13022.54,53.13,578.69,243.17,3491.43
119,Federal Bank Ltd.,12970.66,17.12,1316.29,40.71,17192.75
120,Dewan Housing Finance Corporation Ltd.,12911.66,18.55,-965.91,PL,677.93
121,Bosch Ltd.,12853.20,5.34,1598.30,16.57,46092.88
122,Shree Cements Ltd.,12804.41,25.26,1006.39,-27.29,70464.34
123,NMDC Ltd.,12741.63,3.27,4618.84,21.28,31762.35
124,Jindal Saw Ltd.,12641.07,46.40,850.16,376.28,2627.39
125,Bengal & Assam Company Ltd.,12587.80,706.62,348.13,73.32,1490.05
126,Bank of Maharashtra,12417.92,-1.73,-4763.25,LL,7097.55
127,National Fertilizers Ltd.,12301.05,36.61,295.08,38.69,1320.40
128,Adani Ports & Special Economic Zone Ltd.,12287.78,-0.37,3990.22,8.62,76616.28
129,Godrej Industries Ltd.,12283.82,22.85,589.53,74.50,14573.48
130,Bharat Electronics Ltd.,12237.16,15.48,1886.40,31.76,26688.69
131,Varroc Engineering Ltd.,12158.71,17.06,446.32,-0.88,6182.50
132,Bombay Burmah Trading Corporation Ltd.,12082.38,15.74,888.67,220.36,8034.33
133,Tata Chemicals Ltd.,12070.64,12.46,1155.91,-52.49,16440.56
134,NLC India Ltd.,12046.96,0.66,1507.71,-22.39,7660.49
135,National Aluminium Company Ltd.,11826.48,10.74,1733.69,29.17,8541.09
136,Nestle India Ltd.,11551.19,13.40,1606.93,31.16,139150.48
137,CESC Ltd.,11508.98,7.27,1183.98,29.74,10114.33
138,Britannia Industries Ltd.,11261.12,11.71,1159.12,15.42,75697.08
139,KEC International Ltd.,11032.45,9.50,495.77,7.68,7084.65
140,Cholamandalam Financial Holdings Ltd.,10946.81,22.86,696.70,26.69,8976.89
141,United Bank of India,10944.46,3.68,-2315.93,LL,6784.66
142,Jaiprakash Associates Ltd.,10891.16,20.14,-2110.36,LL,524.44
143,Kalpataru Power Transmissions Ltd.,10884.61,24.62,466.75,66.29,6952.06
144,Edelweiss Financial Services Ltd.,10881.75,21.98,995.17,15.29,10895.81
145,NHPC Ltd.,10760.19,19.89,2595.61,3.25,23661.09
146,Godrej Consumer Products Ltd.,10694.32,5.35,2341.53,43.28,73870.63
147,Hindustan Construction Company Ltd.,10552.62,3.57,-341.14,LL,1427.82
148,Eicher Motors Ltd.,10498.85,10.50,2202.73,12.40,60032.29
149,Mahindra & Mahindra Financial Services Ltd.,10477.78,31.91,1827.30,54.18,20938.17
150,Jindal Stainless (Hisar) Ltd.,10476.34,-1.54,381.35,-34.03,1678.73
151,JK Tyre & Industries Ltd.,10452.01,24.16,176.34,167.02,1729.48
152,Alok Industries Ltd.,10439.25,80.18,2076.16,LP,328.63
153,Chambal Fertilisers & Chemicals Ltd.,10376.81,34.32,590.21,18.32,6636.78
154,Bharat Forge Ltd.,10348.52,21.75,1032.17,35.38,21068.63
155,Glenmark Pharmaceuticals Ltd.,10240.79,11.73,924.99,15.07,9127.12
156,ICICI Lombard General Insurance Company Ltd.,10226.53,20.59,1049.26,21.75,61087.78
157,Havells India Ltd.,10173.35,23.18,785.98,18.66,42358.53
158,NBCC (India) Ltd.,10151.74,17.90,375.16,-0.83,6839.10
159,Larsen & Toubro Infotech Ltd.,9748.10,26.06,1515.90,36.32,29091.16
160,Dalmia Bharat Ltd.,9728.00,9.87,308.00,5.48,16242.34
161,Apollo Hospitals Enterprise Ltd.,9649.86,16.60,236.05,101.03,19897.92
162,JSW Energy Ltd.,9537.49,10.00,695.13,791.54,11962.88
163,Gujarat State Petronet Ltd.,9498.10,28.65,998.60,34.71,12255.12
164,Dilip Buildcon Ltd.,9463.15,18.61,547.45,-5.23,5647.37
165,United Spirits Ltd.,9413.00,6.64,700.20,10.48,45108.07
166,Punjab & Sind Bank,9386.95,10.05,-543.48,LL,1192.08
167,Spicejet Ltd.,9266.26,17.45,-302.41,PL,6621.21
168,Jain Irrigation Systems Ltd.,9257.53,8.87,239.09,9.00,643.27
169,Ebixcash World Money India Ltd.,9189.62,19.35,-10.05,PL,299.20
